text,label
prefer this new version,1
every scrap is of the darkest variety,1
a joy to watch and -- especially -- to listen to,1
endearing and,1
more than a movie,1
tendentious intervention,0
has a film 's title served such dire warning .,0
puzzle whose pieces do not fit,0
the movie is in a class by itself,1
to a moving tragedy with some buoyant human moments,1
our best achievements and other times,1
kicking undead ***,0
breezy blend,1
bean drops the ball too many times ... hoping the nifty premise will create enough interest to make up for an unfocused screenplay .,0
funny situations,1
"to sort the bad guys from the good , which is its essential problem",0
exist only for its climactic setpiece,0
rehashes,0
clever ways,1
the script by vincent r. nebrida ... tries to cram too many ingredients into one small pot .,0
style-free,0
"'s the type of film about growing up that we do n't see often enough these days : realistic , urgent",1
pick up new admirers,1
omitted nor a cliché left unsaid,0
of director john stockwell,1
the disjointed mess,0
all add up to a satisfying crime drama .,1
"drama ,",0
to the power of the eccentric and the strange,1
natural affability,1
"of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties",1
"their super-powers , their super-simple animation",0
"no excuse for following up a delightful , well-crafted family film with a computer-generated cold fish",0
writing and slack direction,0
the shocking conclusion is too much of a plunge,0
in such odd plot,0
nazi,0
", austin powers in goldmember has some unnecessary parts and is kinda wrong in places .",0
simple misfire,0
", worse yet , nonexistent --",0
cinderella,1
"the movie 's presentation , which is way too stagy",0
lightweight but appealing,1
has found the perfect material with which to address his own world war ii experience in his signature style .,1
myopic,0
a bland animated sequel that hardly seems worth the effort .,0
unendurable viewing experience,0
cleverly constructed scenario,1
"a movie that , quite simply , should n't have been made .",0
"scenery , vibe and all --",1
silly rather than,0
terrifically entertaining specimen,1
if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks,0
"a more annoying , though",0
", ice age is consistently amusing and engrossing ...",1
"is all over the place , really .",0
"that both thrills the eye and , in its over-the-top way , touches the heart .",1
it is more than merely a holocaust movie,1
"style , structure and rhythms",1
it look like a masterpiece,1
"deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",1
find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her,1
co-winner,1
gives his best screen performance with an oddly winning portrayal of one of life 's ultimate losers,1
's notably better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals,1
's hard to imagine that even very small children will be impressed by this tired retread,0
add up to more than body count,0
"both shrill and soporific , and because everything is repeated five or six times",0
the grade as tawdry trash,0
"by the movie 's presentation , which is way too stagy",0
"has none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , or even `` indecent proposal '' ,",0
"` dragonfly ' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue .",0
hop beat,1
distance it from the pack of paint-by-number romantic comedies,1
the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .,1
"if you go , pack your knitting needles .",0
loopy,0
is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories,0
"a sensitive , modest comic tragedy",1
"its use of the thriller form to examine the labyrinthine ways in which people 's lives cross and change , buffeted by events seemingly out of their control",1
increasingly implausible as it,0
"a distinctly minor effort that will be seen to better advantage on cable , especially considering its barely feature-length running time of one hour .",0
the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,0
"is a lot like a well-made pb & j sandwich : familiar , fairly uneventful and boasting no real surprises -- but still quite tasty and inviting all the same .",1
without bestowing the subject with the intelligence or sincerity it unequivocally deserves,0
"satisfyingly scarifying , fresh and old-fashioned at the same time .",1
steers refreshingly clear of the usual cliches,1
might just be better suited to a night in the living room than a night at the movies,0
"dramatic , funny and poignant",1
irreparable,0
of animation enthusiasts of all ages,1
does n't drag an audience down,1
to the tailor for some major alterations,0
's as if de palma spent an hour setting a fancy table and then served up kraft macaroni and cheese .,0
"a chance to learn , to grow , to travel",1
's betting her third feature will be something to behold,1
stupid americans,0
"the stale , standard , connect-the-dots storyline",0
"is fresh to say about growing up catholic or , really , anything",1
mindless pace,0
big bad love,1
cliched and contrived,0
unnecessary films,0
done his subject justice,1
", david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",1
fills the eyes,1
has n't much more to serve than silly fluff,0
"it 's possible that something hip and transgressive was being attempted here that stubbornly refused to gel ,",0
beautifully crafted and brutally honest,1
detention,0
tickled,1
"it 's up to ( watts ) to lend credibility to this strange scenario , and her presence succeeds in making us believe",1
inspiration,1
"entertaining , if ultimately minor ,",1
gently humorous,1
"fun and funny in the middle , though",1
"the most complex , generous and subversive artworks of the last decade",1
"familiar and predictable ,",0
what annoyed me most about god is great,0
dog,1
establishes its ominous mood and tension,1
gedeck,1
"with nary a glimmer of self-knowledge , ( crane ) becomes more specimen than character --",0
who loves both dance and cinema,1
shyamalan 's gifts,1
the mediocre end,0
"my big fat greek wedding is not only the best date movie of the year , it 's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss .",1
"to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's",0
present an unflinching look,1
see over and over again,1
harvard man is something rare and riveting : a wild ride that relies on more than special effects .,1
"can just follow the same blueprint from hundreds of other films , sell it to the highest bidder and walk away without anyone truly knowing your identity .",0
like john le carré with a couple of burnt-out cylinders,0
a cellophane-pop remake of the punk,0
"that it 's offensive , but",0
by corrupt and hedonistic weasels,0
it does n't work .,0
is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen,0
other foul substances,0
insult the intelligence of everyone in the audience,0
's an 88-minute highlight reel that 's 86 minutes too long,0
"is n't a product of its cinematic predecessors so much as an mtv , sugar hysteria , and playstation cocktail .",0
"be captivated , as i was , by its moods , and by its subtly transformed star , and",1
rosenthal ( halloween ii ),0
break,0
in all the best possible ways,1
able to appreciate the wonderful cinematography and naturalistic acting,1
slumming,0
it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work .,0
a party worth attending,1
its engaging simplicity,1
the comedy equivalent of saddam hussein,0
"violent , self-indulgent and maddening",0
a fun adventure movie for kids ( of all ages ) that like adventure,1
"is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery",1
"the setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions .",0
demonstrates just how far his storytelling skills have eroded .,0
drags the film down,0
on `` stupid,0
make it as much fun,1
"a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai 's vaunted empathy .",0
as stick figures reading lines from a teleprompter,0
entertained by the unfolding of bielinsky 's,1
"( and literally ) tosses around sex toys and offers half-hearted paeans to empowerment that are repeatedly undercut by the brutality of the jokes , most at women 's expense .",0
ca n't even do that much,0
hilary,1
there 's ... an underlying old world sexism to monday morning that undercuts its charm,0
it 's touching and tender and proves that even in sorrow you can find humor .,1
warm in its loving yet unforgivingly inconsistent depiction of everyday people,1
"becomes just another voyeuristic spectacle , to be consumed and forgotten",0
go see this delightful comedy .,1
by a disastrous ending,0
makes,1
"little action ,",0
all mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another,0
right at home,1
"after several scenes of this tacky nonsense , you 'll be wistful for the testosterone-charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal-mart budget .",0
"love , longing",1
smeary and blurry,0
"neither reaches into the deepest recesses of the character to unearth the quaking essence of passion , grief and fear",0
"despite the film 's bizarre developments , hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity .",1
"is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run",0
of loving,1
"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- a major director is emerging in world cinema",1
"its rough-around-the-edges , low-budget constraints",0
"gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner",1
having a hard time believing people were paid to make it,0
that the ` true story ' by which all the queen 's men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen,0
directed but terminally cute drama .,1
"cheesy backdrops , ridiculous action sequences , and many tired jokes about men in heels",0
a total lack,0
feels as flat as the scruffy sands of its titular community .,0
no fantasy story,1
enhances the quality of neil burger 's impressive fake documentary .,1
that a movie can be as intelligent as this one is in every regard except its storyline,0
about the thousands of americans who die hideously,0
a talented director,1
most of the pitfalls you 'd expect in such a potentially sudsy set-up,0
that gets a quick release before real contenders arrive in september,0
life 's wonderment,1
"parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",1
"hold dear about cinema , only now it 's begun to split up so that it can do even more damage",0
none of the visual wit of the previous pictures,0
the film is one of the year 's best .,1
the gifted pearce on hand,1
seem barely in the same movie,0
turturro is fabulously funny and over the top as a ` very sneaky ' butler who excels in the art of impossible disappearing/reappearing acts,1
"sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip .",0
a little weak,0
large-format,1
greatest musicians,1
"gooding is the energetic frontman , and",1
"who is always a joy to watch , even when her material is not first-rate )",1
just such a dungpile that you 'd swear you,0
of hollywood heart-string plucking,0
"though it goes further than both , anyone who has seen the hunger or cat people will find little new here ,",0
ca n't believe anyone would really buy this stuff .,0
'd grab your kids and run and then probably call the police,0
"is funny , not actually exploiting it yourself",1
"mostly , ( goldbacher ) just lets her complicated characters be unruly , confusing and , through it all , human .",1
friendly,1
is something of a triumph,1
deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance .,1
"deep intelligence and a warm , enveloping affection",1
to the otherwise bleak tale,0
"on toilet humor , ethnic slurs",0
a damn fine and a truly distinctive and a deeply pertinent film,0
off-beat and fanciful,1
though they are having so much fun,1
the bravery and dedication,1
relies on more than special effects,1
you thought was going to be really awful,0
reopens an interesting controversy and,1
does n't necessarily,0
a bloated plot,0
just is n't a very involving one,0
a fairly enjoyable mixture of longest yard ... and the 1999 guy ritchie caper lock stock and two smoking barrels .,1
delight,1
's not wallowing in hormonal melodrama,0
"a timely look back at civil disobedience , anti-war movements and the power of strong voices .",1
originality,1
as good,1
"; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , '",0
is that its own action is n't very effective .,0
remarkably,1
amours,1
"most creative , energetic and original",1
"of a mixed bag , with enough negatives",0
also captures moments of spontaneous creativity and authentic co-operative interaction,1
"loud , brash and mainly unfunny",0
a play that only ever walked the delicate tightrope between farcical and loathsome,0
not since ghostbusters has a film used manhattan 's architecture in such a gloriously goofy way .,1
"in a way that 's too loud , too goofy and too short of an attention span",0
a plot cobbled together from largely flat and uncreative moments,0
swirling,1
is that it avoids the obvious with humor and lightness .,1
episodic choppiness,0
just as endearing and easy,1
last-minute,0
"highly entertaining , self-aggrandizing , politically motivated documentary-making",1
rescue adrian lyne 's unfaithful from its sleazy moralizing,0
scrutiny,0
... something appears to have been lost in the translation this time,0
certain sexiness,1
i have a confession to make : i did n't particularly like e.t. the first time i saw it as a young boy .,0
someone other than the director got into the editing room and tried to improve things by making the movie go faster,0
war,0
"its recycled aspects , implausibility , and",0
"works smoothly under the direction of spielberg , who does a convincing impersonation here of a director enjoying himself immensely .",1
endearing,1
a dazzling dream of a documentary .,1
a kiss,1
"the delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a scrooge or two .",1
being cast in action films when none of them are ever any good,0
"the director , mark pellington , does a terrific job conjuring up a sinister , menacing atmosphere though unfortunately all the story gives us is flashing red lights , a rattling noise , and a bump on the head .",1
foul-mouthed,0
match the ordeal of sitting through it,0
's really so appealing about the characters,1
frightening late fees,0
can not overcome blah characters,0
bubbles up out of john c. walsh 's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie,1
well-crafted film,1
betters it,1
"most complex , generous and subversive artworks",1
with the assassin is structured less as a documentary and more as a found relic,0
shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence,0
offering next to little insight,0
"yes , spirited away is a triumph of imagination , but it 's also a failure of storytelling .",0
"conduct in a low , smoky and inviting sizzle",1
intriguing and stylish,1
"terminally bland , painfully slow and",0
", the update is dreary and sluggish .",0
alone could force you to scratch a hole in your head .,0
if you appreciate the one-sided theme to lawrence 's over-indulgent tirade,0
in thick clouds of denial,0
certainly the performances are worthwhile .,1
has much to learn,0
"the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth",1
slapdash disaster .,0
"in the film 's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties",1
that 's hardly any fun to watch,0
the first half of sorority boys,1
genuine and,1
"all the stomach-turning violence , colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas",1
"... is , also , frequently hilarious .",1
if you 're looking for something new and hoping for something entertaining,1
preserving,1
"it 's packed with adventure and a worthwhile environmental message , so",1
with its own cuteness,1
"to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents",0
"high drama , disney-style - a wing and a prayer and a hunky has-been pursuing his castle in the sky .",1
"` synthetic ' is the best description of this well-meaning , beautifully produced film that sacrifices its promise for a high-powered star pedigree .",0
", godard can still be smarter than any 50 other filmmakers still at work .",1
it has made its way into your very bloodstream,1
organized,1
"nothing special and , until the final act ,",0
strong and unforced supporting cast,1
"creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity .",1
"who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny",0
dopey dialogue and sometimes inadequate performances,0
"dull , inconsistent , dishonest",0
bad behavior,0
been hoping for,1
bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness .,1
a mimetic approximation of better films,0
the mediterranean sparkles,1
inspiring or insightful,1
"as well-written as sexy beast , not as gloriously flippant as lock , stock and two smoking barrels , but stylish and moody and exceptionally well-acted .",1
"loose , unaccountable",0
limited by its short running time,0
"there 's not a spark of new inspiration in it , just more of the same , done with noticeably less energy and imagination .",0
played-out idea,0
"in other words , about as bad a film",0
", worse , that you have to pay if you want to see it",0
zings along with vibrance and warmth .,1
displays with somber earnestness in the new adaptation of the cherry orchard,1
notice the 129-minute running time,0
by bad writing,0
"is unfocused , while the story goes nowhere",0
julia roberts wannabe,0
the feeble examples,0
forcing us to endure every plot contrivance that the cliché-riddled genre can offer,0
shallow and immature character,0
has created a brilliant motion picture,1
breathe life into this somewhat tired premise,1
"you need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes ' work .",1
it might as well have been titled generic jennifer lopez romantic comedy,0
dull-witted and,0
offers a glimpse of the solomonic decision facing jewish parents in those turbulent times : to save their children and yet to lose them .,1
earns extra points,1
's refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original,1
"... plays like a badly edited , 91-minute trailer ( and ) the director ca n't seem to get a coherent rhythm going .",0
it 's the worst movie of 2002,0
the pay-off is negligible,0
poignant and wryly amusing film,1
bile,0
see how many times they can work the words `` radical '' or `` suck '' into a sentence,0
in the hands of a brutally honest individual like prophet jack,1
delectable,1
"heavy-handed symbolism , dime-store psychology and",0
at every faltering half-step of its development,0
"sarah 's dedication to finding her husband seems more psychotic than romantic ,",0
", pointless meditation on losers in a gone-to-seed hotel .",0
are remarkable .,1
's not original enough .,0
has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product,0
fusty squareness,0
a passionately inquisitive film determined to uncover the truth and hopefully inspire action .,1
"a film really has to be exceptional to justify a three hour running time , and this is n't",0
would change the fact that what we have here is a load of clams left in the broiling sun for a good three days,0
joyous communal festival,1
it already has one strike against it .,0
"offers an aids subtext , skims over the realities of gay sex ,",0
"miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path .",1
thin -- then out -- when there 's nothing else happening,0
feeling embarrassed,0
hands-on storytelling,1
unpleasantly,0
this movie sucks . ',0
to the film 's considerable charm,1
"lathan and diggs carry the film with their charisma , and",1
hackneyed,0
of warmth and humor,1
"good action , good acting",1
a visual style that incorporates rotoscope animation for no apparent reason except,0
"the cleverest ,",1
"absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man",1
"a film neither bitter nor sweet , neither romantic nor comedic , neither warm nor fuzzy",0
"of the most moronic screenplays of the year , full of holes that will be obvious even to those who are n't looking for them",0
i was beginning to hate it,0
too bad to be good and,0
"is we never really see her esther blossom as an actress , even though her talent is supposed to be growing .",0
the feel of poetic tragedy,0
much further than we imagine,1
try to avoid,0
that 's neither completely enlightening,0
their incessant whining,0
an intermittently good time,1
of a travesty of a transvestite comedy,0
comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness,0
"typical animé , with cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names .",0
awkward,0
commander-in-chief,1
( lin chung 's ) voice is rather unexceptional,0
tantamount to insulting the intelligence of anyone who has n't been living under a rock,0
of breathtaking mystery,1
damned wonderful,1
burnt out on it 's a wonderful life marathons and bored with a christmas carol,0
whipping out the dirty words,0
of empathy for its characters,1
"a delightful little film that revels in its own simplicity , mostly martha will leave you with a smile on your face and a grumble in your stomach .",1
any sexual relationship that does n't hurt anyone and works for its participants is a relationship that is worthy of our respect,1
"of warmth , color and cringe",1
the charisma,1
"runs a good race , one that will have you at the edge of your seat for long stretches",1
"it has no affect on the kurds , but it wore me down .",0
's ) a clever thriller with enough unexpected twists to keep our interest .,1
cult,0
must have been lost in the translation,0
"this is a smart movie that knows its classical music , knows its freud and knows its sade .",1
long and unfocused,0
hugely enjoyable in its own right though not really faithful,1
too many,0
tattered,0
deserves a look,1
novels to the big screen,1
would take a complete moron to foul up a screen adaptation of oscar wilde 's classic satire,0
there 's no conversion effort,0
woozy,0
is an exercise not in biography but in hero worship .,1
neatly constructed thriller .,1
stupid and pointless,0
"to find an enthusiastic audience among american action-adventure buffs , but the film 's interests",0
toilet-humor codswallop,0
this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .,1
too much norma rae,0
has made a decent ` intro ' documentary,1
film a must for everyone from junior scientists,1
should 've been so much more even if it was only made for teenage boys and wrestling fans,0
"yet , it still works .",1
leaves a bad taste in your mouth and questions,0
"sordid of human behavior on the screen ,",0
to one of demme 's good films,1
have been a painless time-killer,1
frustrates and,0
the christ allegory does n't work because there is no foundation for it,0
has merit and,1
the movie lacks in action,0
could have been crisper and punchier,0
") fondness for fancy split-screen , stuttering editing and pompous references to wittgenstein and kirkegaard",0
exceedingly rare,1
so incredibly inane,0
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .,1
the film itself -- as well its delightful cast -- is so breezy,1
jell into charm,1
stilted,0
take movies by storm,1
an aimlessness,0
the very hollowness,0
that does n't come close to the level of intelligence and visual splendor that can be seen in other films,0
a lot better,1
's still too burdened by the actor,0
"character portrait , romantic comedy and beat-the-clock thriller",1
far too sentimental,0
"helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears",0
"wimps out by going for that pg-13 rating , so the more graphic violence is mostly off-screen and the sexuality is muted .",0
is all over the place,0
jackass is a vulgar,0
"but in terms of its style , the movie is in a class by itself",1
characteristically startling visual style,1
a cute alien creature,1
came handed down from the movie gods on a silver platter,1
are frequently too dark to be decipherable,0
touching,1
bad idea,0
is a winning comedy that excites the imagination and tickles the funny bone .,1
deeply humanistic artist,1
acknowledges and celebrates the glorious chicanery and self-delusion of this most american of businesses,1
a powerful sequel and one of the best films of the year,1
"is no solace here , no entertainment value , merely a fierce lesson in where filmmaking can take us",0
's a hellish,0
full well,1
veers like a drunken driver,0
a james bond series for kids,1
sweet and,1
content to dog-paddle in the mediocre end of the pool,0
becomes instead a grating endurance test,0
about either the nature of women or,1
'' leaves us with the terrifying message that the real horror may be waiting for us at home,1
be wishing for a watch that makes time go faster rather than the other way around,0
"samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success",1
does n't take itself so deadly seriously,1
"with zoe clarke-williams 's lackluster thriller `` new best friend '' , who needs enemies ?",0
this wo n't seem like such a bore,0
go-for-broke,1
( and better ),1
an 88-minute highlight reel,1
"it 's fun , but it 's a real howler .",1
there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows .,0
generates plot points,1
neglecting character development,0
woody allen can write and deliver a one liner as well as anybody .,1
"is thinking that we needed sweeping , dramatic , hollywood moments to keep us",0
kicks into gear,1
the dead ( water ) weight of the other,0
"priggish , lethargically paced parable of renewal .",0
bring new energy to the familiar topic of office politics .,1
a bit too much like an infomercial for ram dass 's latest book aimed at the boomer,0
independent or,1
they ca n't go wrong .,1
the film does n't manage to hit all of its marks,0
"the premise of `` abandon '' holds promise , ...",1
fights the good fight in vietnam in director randall wallace 's flag-waving war flick with a core of decency,1
the perfect movie many have made it out to be,1
"reign of fire is hardly the most original fantasy film ever made -- beyond road warrior , it owes enormous debts to aliens and every previous dragon drama -- but that barely makes it any less entertaining .",1
"if you saw benigni 's pinocchio at a public park , you 'd grab your kids and run and then probably call the police .",0
with poetic force and buoyant feeling,1
for people who take as many drugs as the film 's characters,0
a little too much resonance with real world events,0
from the dullest science fiction,0
it 's refreshing to see a romance this smart .,1
passion and energy,1
"it 's mildly interesting to ponder the peculiar american style of justice that plays out here , but",1
pandering,0
one of the more influential works of the ` korean new wave ',1
"first-class , natural acting",1
fessenden continues to do interesting work,1
an american ( and an america ) always reaching for something just outside his grasp,0
we want the funk - and this movie 's got it,1
"while this movie , by necessity , lacks fellowship 's heart",0
to the gallic ` tradition of quality,1
he gives none to the audience,0
one that is presented with great sympathy and intelligence,1
too stagey,0
drags out,0
"do all three quite well ,",1
ambitious films,1
"in a heartwarming , nonjudgmental kind of way",1
the young woman 's infirmity and her naive dreams,0
the `` soon-to-be-forgettable '' section of the quirky rip-off prison,0
... keep the movie slaloming through its hackneyed elements with enjoyable ease .,1
"a venturesome , beautifully realized psychological mood piece that reveals its first-time feature director 's understanding of the expressive power of the camera .",1
crowd pleaser,1
chilling and fascinating,1
a huge amount of the credit for the film 's thoroughly winning tone,1
"so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat .",0
achieves near virtuosity in its crapulence,0
"cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience .",0
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1
a filmmaking methodology that 's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads,0
is n't going to jell,0
profound ethical and philosophical questions,1
smartly and,1
into sub-tarantino cuteness,1
"stupid , infantile , redundant , sloppy",0
often strains,0
unturned,0
what begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters .,1
"go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches ... gorgeous , passionate , and at times uncommonly moving",1
at its best moments,1
play second fiddle to the dull effects that allow the suit to come to life,0
"an ugly , revolting movie .",0
a sub-formulaic slap,0
"still , this flick is fun , and host to some truly excellent sequences .",1
rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film .,1
"you 'll forget about it by monday , though , and if they 're old enough to have developed some taste , so will your kids",0
small delights,1
teenagers fixating on its body humor and reinforcement of stereotypes,0
the pantheon of wreckage that includes battlefield earth and showgirls,0
", poorly structured",0
", accompanying the stunt-hungry dimwits in a random series of collected gags , pranks , pratfalls , dares , injuries , etc. .",0
never,0
that pollyana would reach for a barf bag .,0
dazzling thing to behold -- as long as you 're wearing the somewhat cumbersome 3d goggles the theater,1
combined with stunning animation .,1
play like the worst kind of hollywood heart-string plucking,0
it 's so devoid of joy and energy it makes even jason x ... look positively shakesperean by comparison .,0
's as hard to classify as it is hard to resist,1
sympathetic characters,1
without sham the raw-nerved story,1
that it 's too close to real life to make sense,0
director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard,1
a touching drama,1
"high crimes carries almost no organic intrigue as a government / marine/legal mystery , and",0
"does a good job of establishing a time and place , and of telling a fascinating character 's story",1
is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing,0
"phenomenal ,",1
experience that finds warmth in the coldest environment and makes each crumb of emotional comfort,1
a brutally dry satire of middle american numbness .,0
"forbidden love , racial tension , and other issues that are as valid today",1
"a pointed , often tender , examination of the pros and cons of unconditional love and familial duties .",1
the filmmakers found this a remarkable and novel concept,1
go over the top and movies that do n't care about being stupid,0
a no-surprise series of explosions and violence while banderas looks like he 's not trying to laugh at how bad,0
airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length,0
"cuba gooding jr. valiantly mugs his way through snow dogs , but even his boisterous energy fails to spark this leaden comedy",0
it gets to you .,1
"by an inconsistent , meandering , and sometimes dry plot",0
undeniable entertainment value,1
why this project was undertaken,0
"it is very difficult to care about the character , and that is the central flaw of the film",0
appealing veneer,1
